"t","smoothMedian","smooth5","smooth95","date","pop","sens","spec","rpos","n_tested","p_infected","p_tested","p_infected_tested","p_tested_infected"
128,2091.85216497794,1487.30858474661,2381.84067323825,"2021-05-09",17890100,0.7,0.999,0.0837142857142857,127686,0.000116927919071327,0.00711183407008198,0.118332311465359,7.19725255486275
129,2053.45995480344,1484.75255792737,2408.38893149001,"2021-05-10",17890100,0.7,0.999,0.08,127200,0.000114781915964888,0.00708486103936745,0.113018597997139,6.97602104776508
130,2054.13419201952,1470.41963937767,2392.95567208854,"2021-05-11",17890100,0.7,0.999,0.0762857142857143,130271,0.000114819603692518,0.0072552894203276,0.107704884528919,6.80572031351812
131,2000.96442943426,1443.37533801858,2336.45412580328,"2021-05-12",17890100,0.7,0.999,0.0725714285714286,133343,0.000111847582150701,0.00742574402996488,0.102391171060699,6.79791742123351
132,1867.90338613445,1403.6196538501,2238.8842926342,"2021-05-13",17890100,0.7,0.999,0.0688571428571429,136414,0.000104409890729199,0.00759611390024884,0.0970774575924791,7.06265871814405
133,1693.24443625993,1351.15258687224,2104.66195519733,"2021-05-14",17890100,0.7,0.999,0.0651428571428571,139486,9.46470079127523e-05,0.00776650999020523,0.0917637441242591,7.52991617164129
134,1576.19250365465,1285.97413708498,1971.35284852988,"2021-05-15",17890100,0.7,0.999,0.0614285714285714,142557,8.81041751390238e-05,0.00793682136990048,0.0864500306560392,7.787808576117
135,1516.7475883186,1210.1573427182,1838.95697263185,"2021-05-16",17890100,0.7,0.999,0.0577142857142857,145629,8.47813924080134e-05,0.0081071589602667,0.0811363171878193,7.75860129457013
136,1434.76835662067,1129.03760873163,1707.51546938754,"2021-05-17",17890100,0.7,0.999,0.054,148700,8.01990126729683e-05,0.00827741186945419,0.0758226037195994,7.82571878485327
137,1280.94067402831,1044.73578320911,1585.8702849164,"2021-05-18",17890100,0.7,0.999,0.0522857142857143,143643,7.16005318040877e-05,0.0079970417120262,0.073370120580421,8.19468654651139
138,1153.21472214011,958.186357229576,1473.10818844903,"2021-05-19",17890100,0.7,0.999,0.0505714285714286,138586,6.44610551165231e-05,0.00771659229107613,0.0709176374412426,8.48950569287458
139,1060.26118823244,869.389330793017,1363.64085637007,"2021-05-20",17890100,0.7,0.999,0.0488571428571429,133529,5.92652466018882e-05,0.00743606358419557,0.0684651543020642,8.59038424511829
140,993.575144400052,778.344703899438,1256.51820010004,"2021-05-21",17890100,0.7,0.999,0.0471428571428571,128471,5.55377076930846e-05,0.00715540007209681,0.0660126711628857,8.50497961868583
141,904.838623772329,685.052476548839,1160.29975446879,"2021-05-22",17890100,0.7,0.999,0.0454285714285714,123414,5.05776168815339e-05,0.00687471271041429,0.0635601880237073,8.63935589346516
142,824.596626464579,589.51264874122,1074.98551947634,"2021-05-23",17890100,0.7,0.999,0.0437142857142857,118357,4.60923430536766e-05,0.00659394599553287,0.0611077048845289,8.74203564462543
143,769.798680676691,505.86734109764,1000.53435323838,"2021-05-24",17890100,0.7,0.999,0.042,113300,4.3029311221105e-05,0.00631309990501849,0.0586552217453505,8.60567516237136
144,715.749095554314,436.36415407512,928.104309635446,"2021-05-25",17890100,0.7,0.999,0.0401428571428571,112871,4.00081103825196e-05,0.00628927126216627,0.0559983650112405,8.8029378150129
145,663.527068009294,381.003087673661,857.695388667544,"2021-05-26",17890100,0.7,0.999,0.0382857142857143,112443,3.70890642315747e-05,0.00626549759452089,0.0533415082771306,9.01104136010951
146,619.70500525122,339.784141893261,794.895913950006,"2021-05-27",17890100,0.7,0.999,0.0364285714285714,112014,3.46395495414346e-05,0.00624166781016378,0.0506846515430206,9.13281962939571
147,564.272115080484,312.707316733922,741.358194940056,"2021-05-28",17890100,0.7,0.999,0.0345714285714286,111586,3.15410263263193e-05,0.00621789300364706,0.0480277948089107,9.46803969640426
148,535.560504213926,299.772612195642,689.349390024755,"2021-05-29",17890100,0.7,0.999,0.0327142857142857,111157,2.99361380995034e-05,0.00619406207773032,0.0453709380748007,9.38766403422076
149,503.025172536242,300.980028278423,638.395962234691,"2021-05-30",17890100,0.7,0.999,0.0308571428571429,110729,2.81175159745469e-05,0.00617028613228776,0.0427140813406908,9.37344906244418
150,474.614762491806,299.187623480429,588.515237806337,"2021-05-31",17890100,0.7,0.999,0.029,110300,2.65294639209287e-05,0.00614645406475678,0.0400572246065808,9.28062066160949
151,442.338687968789,294.395397801662,539.724317242811,"2021-06-01",17890100,0.7,0.999,0.0275714285714286,110286,2.47253334508353e-05,0.00614567631865792,0.0380134886572655,9.44855192732035
152,405.042758687783,286.603351242121,492.023200544112,"2021-06-02",17890100,0.7,0.999,0.0261428571428571,110271,2.2640608978585e-05,0.00614484301859097,0.0359697527079501,9.7624796230947
153,352.67478665604,275.811483801805,445.411887710242,"2021-06-03",17890100,0.7,0.999,0.0247142857142857,110257,1.97134049924841e-05,0.00614406527123135,0.0339260167586348,10.5737015719715
154,305.245564073164,262.019795480716,403.694384546929,"2021-06-04",17890100,0.7,0.999,0.0232857142857143,110243,1.70622614783128e-05,0.0061432875232631,0.0318822808093195,11.4792530965497
155,273.18561968886,245.228286278853,366.884623511576,"2021-06-05",17890100,0.7,0.999,0.0218571428571429,110229,1.52702119993102e-05,0.00614250977468633,0.0298385448600042,12.0026855863737
156,253.394289606223,225.436956196216,336.197867062506,"2021-06-06",17890100,0.7,0.999,0.0204285714285714,110214,1.41639392516656e-05,0.00614167647196429,0.0277948089106887,12.0522067269842
157,234.939985176921,208.744113612129,311.616788963242,"2021-06-07",17890100,0.7,0.999,0.019,110200,1.31324020087602e-05,0.00614089872212664,0.0257510729613734,12.0415694658449
158,217.822706400953,195.149758526592,293.124288710667,"2021-06-08",17890100,0.7,0.999,0.018,109186,1.2175600270594e-05,0.00608456579397709,0.0243204577968526,12.1537683823267
159,202.042453278321,184.653890939605,280.720366304782,"2021-06-09",17890100,0.7,0.999,0.017,108171,1.1293534037167e-05,0.00602817411293988,0.0228898426323319,12.2179608571937
160,191.079006592184,177.256510851168,274.405021745588,"2021-06-10",17890100,0.7,0.999,0.016,107157,1.06807120470083e-05,0.00597183479544661,0.0214592274678112,11.9983537344379
161,184.932366342544,172.95761826128,267.812112991957,"2021-06-11",17890100,0.7,0.999,0.015,106143,1.03371343001182e-05,0.00591549228458454,0.0200286123032904,11.4615035571024
162,183.157863933465,171.725945508772,260.878631474297,"2021-06-12",17890100,0.7,0.999,0.014,105129,1.02379452285602e-05,0.00585914658017261,0.0185979971387697,10.6435802205407
163,187.757951136362,172.78367013251,254.43551889174,"2021-06-13",17890100,0.7,0.999,0.013,104114,1.04950755521971e-05,0.0058027421095479,0.0171673819742489,9.49186976284443
164,193.456250464749,172.272421354044,248.482775244286,"2021-06-14",17890100,0.7,0.999,0.012,103100,1.08135924597822e-05,0.00574639001434318,0.0157367668097282,8.36258625334683
165,198.228010597286,170.865187345966,243.020400531935,"2021-06-15",17890100,0.7,0.999,0.0114285714285714,102829,1.10803187571498e-05,0.00573132890363137,0.014919272430002,7.71703947993786
