"t","smoothMedian","smooth5","smooth95","date","pop","sens","spec","rpos","n_tested","p_infected","p_tested","p_infected_tested","p_tested_infected"
159,52.4597631077586,42.7959169556398,92.4438355417388,"2021-06-09",3571000,0.7,0.999,0.00642857142857143,18429,1.4690496529756e-05,0.00514744627184549,0.00776619660739833,2.72122046332464
160,49.2717944028322,39.4087938159988,86.9571413264327,"2021-06-10",3571000,0.7,0.999,0.00614285714285714,18243,1.37977581637727e-05,0.00509562677587583,0.00735744941753525,2.71716722449741
161,48.0644770759272,37.8189434918914,81.559458551817,"2021-06-11",3571000,0.7,0.999,0.00585714285714286,18057,1.34596687415086e-05,0.00504380458075215,0.00694870222767219,2.60391966543208
162,48.7048147560922,38.0263659833174,76.4521392035013,"2021-06-12",3571000,0.7,0.999,0.00557142857142857,17871,1.3638984809883e-05,0.00499197968633402,0.00653995503780911,2.39367688675951
163,51.0799761147103,38.4644525660573,72.1155739902312,"2021-06-13",3571000,0.7,0.999,0.00528571428571429,17686,1.43041098052955e-05,0.00494043074267625,0.00613120784794605,2.11762969901955
164,51.690507718156,38.9025391487972,68.8038225258151,"2021-06-14",3571000,0.7,0.999,0.005,17500,1.44750791705842e-05,0.00488860046376149,0.00572246065808297,1.93261974579117
165,50.4737196522561,38.9726819342642,66.5168848102528,"2021-06-15",3571000,0.7,0.999,0.00485714285714286,17486,1.41343376231465e-05,0.0048846991507242,0.00551808706315144,1.90700094405964
166,48.8805262161711,38.6586237660269,65.2547608435445,"2021-06-16",3571000,0.7,0.999,0.00471428571428571,17471,1.36881899233187e-05,0.00488051915549736,0.0053137134682199,1.89460261099182
167,47.931832643211,37.9603646440853,64.9803204985532,"2021-06-17",3571000,0.7,0.999,0.00457142857142857,17457,1.34225238429602e-05,0.00487661781077753,0.00510933987328837,1.85630497802854
168,47.5210636921693,36.8779045684394,65.7734624518667,"2021-06-18",3571000,0.7,0.999,0.00442857142857143,17443,1.33074947331754e-05,0.00487271645076259,0.00490496627835684,1.79601873637429
169,47.2184034623562,35.4112435390892,67.5648625515971,"2021-06-19",3571000,0.7,0.999,0.00428571428571429,17429,1.32227396982235e-05,0.00486881507545245,0.00470059268342531,1.73083014889096
170,47.0739933682155,33.5603815560348,69.7362227572568,"2021-06-20",3571000,0.7,0.999,0.00414285714285714,17414,1.31823000191026e-05,0.0048646350135042,0.00449621908849376,1.65922978346548
171,50.7508248150535,32.8050798920661,71.9446444971476,"2021-06-21",3571000,0.7,0.999,0.004,17400,1.42119363805806e-05,0.00486073360651096,0.00429184549356223,1.4678870680153
172,54.7484774182842,33.5132823444562,74.3712923582296,"2021-06-22",3571000,0.7,0.999,0.004,17314,1.53314134467332e-05,0.00483676748513118,0.00429184549356223,1.35399510336027
173,59.0669511779076,35.7012460696364,77.0161663405027,"2021-06-23",3571000,0.7,0.999,0.004,17229,1.65407312175602e-05,0.00481307947242893,0.00429184549356223,1.24885612202989
174,62.6853408606138,39.3689710676066,79.9190634424907,"2021-06-24",3571000,0.7,0.999,0.004,17143,1.75540019212024e-05,0.00478911220338585,0.00429184549356223,1.17090847548782
175,65.6036464664029,44.5164573383669,83.1078556218218,"2021-06-25",3571000,0.7,0.999,0.004,17057,1.83712255576597e-05,0.0047651443571346,0.00429184549356223,1.11322259209945
176,70.6315309829422,50.0951563140532,86.4505150447745,"2021-06-26",3571000,0.7,0.999,0.004,16971,1.97792021794854e-05,0.0047411759336613,0.00429184549356223,1.02877731773099
177,77.130850572828,56.8771516087975,90.0849490430907,"2021-06-27",3571000,0.7,0.999,0.004,16886,2.1599230068e-05,0.00471748564557972,0.00429184549356223,0.937381538378169
