"t","smoothMedian","smooth5","smooth95","date"
102,1641.78983166089,1387.43631737286,2109.6857788231,2021-04-13
103,1652.87090437687,1386.76183615945,2115.08730371886,2021-04-14
104,1663.13044350434,1393.41343798795,2140.8106807505,2021-04-15
105,1682.91450394461,1407.39112285834,2186.855909918,2021-04-16
106,1738.21460387528,1428.69489077064,2253.22299122137,2021-04-17
107,1792.73638394743,1457.32474172484,2300.48001499247,2021-04-18
108,1813.79978839694,1478.38814617435,2321.19490869873,2021-04-19
109,1812.38998640636,1481.41084707569,2323.45598883075,2021-04-20
110,1842.73870110291,1471.6751509597,2297.15285977527,2021-04-21
111,1783.11819923138,1438.67609997559,2261.05785116633,2021-04-22
112,1725.1035082553,1382.41369412337,2215.17096300391,2021-04-23
113,1660.87664912569,1302.88793340303,2159.49219528802,2021-04-24
114,1613.63294627056,1200.09881781457,2122.58575720616,2021-04-25
115,1577.0932529786,1112.90640847473,2093.27408359051,2021-04-26
116,1479.18424456368,1059.35140893168,2072.74158148584,2021-04-27
117,1362.43577068537,1030.88028084573,2062.48508692509,2021-04-28
118,1343.18726366378,1031.22892674408,2042.33957723735,2021-04-29
119,1340.63339695836,1060.39734662673,2022.06899360124,2021-04-30
120,1357.20844931448,1118.38554049369,2006.19500560336,2021-05-01
121,1392.91242073213,1205.19350834495,1986.79256372368,2021-05-02
122,1455.79805983726,1281.96118906378,1984.59810331702,2021-05-03
123,1579.33792006435,1341.11245641266,2012.03937860586,2021-05-04
124,1716.0374107147,1385.91854220045,2067.61955355727,2021-05-05
125,1883.27312542519,1423.14850175072,2152.73132120813,2021-05-06
126,2051.25661796119,1452.80233506348,2253.19495776382,2021-05-07
127,2120.78296447877,1474.88004213873,2326.92305860051,2021-05-08
128,2091.85216497794,1487.30858474661,2381.84067323825,2021-05-09
129,2053.45995480344,1484.75255792737,2408.38893149001,2021-05-10
130,2054.13419201952,1470.41963937767,2392.95567208854,2021-05-11
131,2000.96442943426,1443.37533801858,2336.45412580328,2021-05-12
132,1867.90338613445,1403.6196538501,2238.8842926342,2021-05-13
133,1693.24443625993,1351.15258687224,2104.66195519733,2021-05-14
134,1576.19250365465,1285.97413708498,1971.35284852988,2021-05-15
135,1516.7475883186,1210.1573427182,1838.95697263185,2021-05-16
136,1434.76835662067,1129.03760873163,1707.51546938754,2021-05-17
137,1280.94067402831,1044.73578320911,1585.8702849164,2021-05-18
138,1153.21472214011,958.186357229576,1473.10818844903,2021-05-19
139,1060.26118823244,869.389330793017,1363.64085637007,2021-05-20
140,993.575144400052,778.344703899438,1256.51820010004,2021-05-21
141,904.838623772329,685.052476548839,1160.29975446879,2021-05-22
142,824.596626464579,589.51264874122,1074.98551947634,2021-05-23
143,769.798680676691,505.86734109764,1000.53435323838,2021-05-24
144,715.749095554314,436.36415407512,928.104309635446,2021-05-25
145,663.527068009294,381.003087673661,857.695388667544,2021-05-26
146,619.70500525122,339.784141893261,794.895913950006,2021-05-27
147,564.272115080484,312.707316733922,741.358194940056,2021-05-28
148,535.560504213926,299.772612195642,689.349390024755,2021-05-29
149,503.025172536242,300.980028278423,638.395962234691,2021-05-30
150,474.614762491806,299.187623480429,588.515237806337,2021-05-31
151,442.338687968789,294.395397801662,539.724317242811,2021-06-01
152,405.042758687783,286.603351242121,492.023200544112,2021-06-02
153,352.67478665604,275.811483801805,445.411887710242,2021-06-03
154,305.245564073164,262.019795480716,403.694384546929,2021-06-04
155,273.18561968886,245.228286278853,366.884623511576,2021-06-05
156,253.394289606223,225.436956196216,336.197867062506,2021-06-06
157,234.939985176921,208.744113612129,311.616788963242,2021-06-07
158,217.822706400953,195.149758526592,293.124288710667,2021-06-08
159,202.042453278321,184.653890939605,280.720366304782,2021-06-09
160,191.079006592184,177.256510851168,274.405021745588,2021-06-10
161,184.932366342544,172.95761826128,267.812112991957,2021-06-11
162,183.157863933465,171.725945508772,260.878631474297,2021-06-12
163,187.757951136362,172.78367013251,254.43551889174,2021-06-13
164,193.456250464749,172.272421354044,248.482775244286,2021-06-14
165,198.228010597286,170.865187345966,243.020400531935,2021-06-15
166,203.085607194643,169.090695958411,238.048394754687,2021-06-16
167,207.703835759155,165.283997699963,233.566757912541,2021-06-17
168,211.920094041989,159.375603076178,231.43540536318,2021-06-18
169,210.481194108089,151.396779748228,228.80988618016,2021-06-19
170,203.672336838781,142.125350177244,224.117533175443,2021-06-20
171,195.142899122299,134.079195826718,219.417687949623,2021-06-21
172,186.917632279979,126.585328524055,215.680495473991,2021-06-22
173,177.984160651155,119.115020419122,211.148676219783,2021-06-23
174,166.137607789895,113.333221003335,205.822230186997,2021-06-24
175,151.540575945032,109.309419771136,200.033658923441,2021-06-25
176,139.446253051624,107.043616722527,198.081317623709,2021-06-26
177,136.055213617718,107.078033662687,200.486299908917,2021-06-27
178,134.703505966605,107.654672408028,205.18774476315,2021-06-28
179,133.523617195251,108.773532958548,211.217164759103,2021-06-29
180,132.063549551904,110.434615314249,219.436453345925,2021-06-30
181,132.853383980157,112.637919475131,229.445222129812,2021-07-01
182,135.513504221819,115.383445441192,240.760639881751,2021-07-02
183,140.803142793275,118.671193212434,251.780827247496,2021-07-03
184,146.340044380846,121.958940983676,262.254307925046,2021-07-04
185,152.942359522031,128.763234895388,273.530735774917,2021-07-05
186,166.508467103695,139.084074947569,285.85698413283,2021-07-06
187,187.35602526321,152.921461140221,300.128439078403,2021-07-07
188,213.570355719446,170.275393473342,316.745489005439,2021-07-08
189,243.925364279794,191.145871946933,335.858463595144,2021-07-09
190,275.660359433339,215.532896560993,356.708508547206,2021-07-10
191,298.735297864771,243.425242291289,379.026006542508,2021-07-11
192,327.985502671081,267.320961582054,401.462823135855,2021-07-12
193,348.315800801437,287.220054433287,423.770427447539,2021-07-13
194,360.743967252162,303.122520844988,445.948819477561,2021-07-14
195,370.283825738759,315.028360817158,470.115905144365,2021-07-15
196,378.541086712029,322.937574349796,495.232476123052,2021-07-16
197,387.5172091665,326.850161442903,520.805704746311,2021-07-17
198,404.246928467276,326.777347120713,546.835591014139,2021-07-18
199,413.894921517366,331.50686026569,573.322134926538,2021-07-19
200,441.844011642628,341.038700877833,602.373552593853,2021-07-20
201,488.458384655292,355.372868957143,634.105144921238,2021-07-21
202,530.334329956814,374.509364503619,666.81066930719,2021-07-22
203,571.542324237627,398.448187517262,705.861067202453,2021-07-23
204,612.082367497731,427.189337998072,751.878378556005,2021-07-24
205,651.954459737126,460.732815946048,804.862603367844,2021-07-25
206,720.008759294501,494.512430629232,864.813741637971,2021-07-26
207,780.446562068295,528.528182047625,929.623577256041,2021-07-27
208,854.331527254998,562.780070201226,999.176809316899,2021-07-28
209,915.811624201804,597.268095090035,1062.50705808973,2021-07-29
210,960.816376218279,631.992256714052,1115.2825904487,2021-07-30
211,989.345783304423,666.952555073277,1157.5034063938,2021-07-31
212,1001.39984546024,702.148990167711,1189.16950592503,2021-08-01
213,1004.71164519594,734.277058516915,1210.2808890424,2021-08-02
214,1006.60934731135,763.336760120887,1220.8375557459,2021-08-03
215,991.857682937246,786.823597215991,1220.83950603553,2021-08-04
216,1006.61324789061,807.088504067262,1220.84145632515,2021-08-05
217,1012.87537303082,822.278519097786,1234.31462069669,2021-08-06
218,1010.64405835787,828.266468451924,1261.08973277809,2021-08-07
219,1007.42994203563,825.052352129678,1301.25142575538,2021-08-08
220,1024.7186961348,837.324638650158,1354.79969962855,2021-08-09
221,1048.02487454956,865.083328013365,1421.73455439761,2021-08-10
222,1084.59120033283,910.832917982936,1502.05599006255,2021-08-11
223,1133.87365657259,972.222474293837,1616.35357578018,2021-08-12
224,1222.26900216908,1051.10495852298,1761.3114875896,2021-08-13
225,1349.77723712229,1151.60754452601,1937.09899186287,2021-08-14
226,1508.88772326839,1273.73023230291,2143.63145541395,2021-08-15
227,1726.20947647672,1383.64559638387,2380.90887824284,2021-08-16
