"t","smoothMedian","smooth5","smooth95","date"
96,137.93689200092,105.664801580109,170.239327608763,2021-04-07
97,136.981148292119,103.552626534227,169.604873245762,2021-04-08
98,134.490128956281,102.877554803491,168.665497341072,2021-04-09
99,130.767764248402,103.335656132904,166.78032232548,2021-04-10
100,133.467521248048,106.351550028043,165.741809920004,2021-04-11
101,137.04607173098,110.451463779672,167.042116691654,2021-04-12
102,141.503415697198,115.596440935594,169.769809435246,2021-04-13
103,147.776475687503,120.663765711206,174.380604753373,2021-04-14
104,156.31576993555,124.734735367643,180.795790210345,2021-04-15
105,169.152875657022,128.082567900264,189.133434459696,2021-04-16
106,185.98386259692,131.795051318328,199.338905160019,2021-04-17
107,195.899757564221,134.603038131313,207.353073723489,2021-04-18
108,203.016342392161,136.543197733309,212.741128093556,2021-04-19
109,208.919522890866,137.654486576512,215.50306827022,2021-04-20
110,209.500564899281,139.059620445527,214.839987470551,2021-04-21
111,205.894855993879,139.570741214639,210.830598130238,2021-04-22
112,197.841884527516,137.854606773786,203.356831595746,2021-04-23
113,182.024846012536,133.127359368708,192.794879313181,2021-04-24
114,161.699246560398,125.233526984348,181.876842208686,2021-04-25
115,149.557438626488,116.658877756814,170.403461711569,2021-04-26
116,135.512178155877,107.403411686105,158.974694996127,2021-04-27
117,122.735276768814,97.4671287722232,149.548797738202,2021-04-28
118,109.640828655176,88.956589879745,142.276785662266,2021-04-29
119,99.5161378558902,82.9318191233746,137.158658768319,2021-04-30
120,94.379327696698,79.392816503112,133.818225610256,2021-05-01
121,94.8797387585571,79.3032282451023,131.790052128741,2021-05-02
122,90.4907859070203,80.1750982305844,131.672200438907,2021-05-03
123,89.7138073868924,82.009520450885,132.864713366456,2021-05-04
124,92.5488031981733,84.8064949060041,134.208242018477,2021-05-05
125,98.9957733408631,88.5660215959417,135.800889810296,2021-05-06
126,105.767413774032,93.2881005206977,137.235695178408,2021-05-07
127,114.162405659597,98.9727316802723,139.606464397542,2021-05-08
128,124.348116534024,104.65626884852,142.9131974677,2021-05-09
129,128.91531558277,110.340900008095,145.272324543584,2021-05-10
