"t","smoothMedian","smooth5","smooth95","date"
47,572.218618002539,518.349994768879,681.400259039549,2021-02-17
48,582.645677637079,540.853627656172,706.201519764568,2021-02-18
49,636.429307654355,571.736806819073,744.123908563611,2021-02-19
50,664.126831621595,601.748277027127,780.842334735574,2021-02-20
51,694.667609613244,621.487263652688,809.588871124557,2021-02-21
52,703.879086591279,622.548776023662,832.731424784375,2021-02-22
53,677.154887994271,601.539204766439,844.117385587361,2021-02-23
54,662.175816735297,586.132698703271,843.319022341886,2021-02-24
55,661.327569362511,576.329257834159,830.200986277369,2021-02-25
56,645.076037429708,573.747991137982,804.763277393811,2021-02-26
57,633.440396346894,565.411780664545,789.736470303351,2021-02-27
58,633.798176602766,558.490839513853,784.41826530177,2021-02-28
59,639.870325166233,562.637857975894,785.485532791035,2021-03-01
60,673.313342984941,584.546173546221,792.261062911878,2021-03-02
61,695.056972819297,596.541637402582,804.852383419335,2021-03-03
62,695.297272828445,598.624249544978,823.750593088117,2021-03-04
63,678.236847639125,590.794009973407,850.383227763174,2021-03-05
64,708.572965737906,586.962753614024,877.298000114188,2021-03-06
65,727.330661998348,589.361041994468,898.789302589786,2021-03-07
66,737.26742698306,599.381484065461,911.426399555445,2021-03-08
67,743.310886927155,607.187068458632,916.52690847423,2021-03-09
68,741.443314229804,600.140168202196,913.788054006895,2021-03-10
69,743.617051582666,578.240783296155,902.616730554452,2021-03-11
70,750.409671775989,568.704219833614,884.021212029453,2021-03-12
71,717.156589446752,570.595760838615,861.653799920575,2021-03-13
72,702.677862722783,564.430016536302,844.44146698145,2021-03-14
73,694.28185431143,551.316447661315,837.412695576538,2021-03-15
74,683.970330944602,532.191608179123,838.825896342231,2021-03-16
75,686.816531902535,532.324836806925,849.195830568048,2021-03-17
76,710.838460519849,551.716133544723,868.759853848845,2021-03-18
77,759.66828887092,562.081855987525,895.082156427121,2021-03-19
78,751.145240568375,553.627723605497,901.266061401587,2021-03-20
79,733.969382736773,544.228317273019,884.090203569984,2021-03-21
80,718.840788628642,520.849123882811,860.876182390133,2021-03-22
81,703.526230472336,504.901603380343,830.007165435583,2021-03-23
82,673.221431585642,483.754044020198,794.716817559236,2021-03-24
83,620.726274529758,457.406445802376,753.38830633464,2021-03-25
84,535.453684202011,426.927145038763,711.244710554422,2021-03-26
85,527.103139571045,412.657833998369,692.69705744349,2021-03-27
86,531.014879854054,416.209321581671,697.745347001844,2021-03-28
87,538.712332497161,432.001806772106,718.714794776726,2021-03-29
88,543.387317578184,440.66146683512,759.495331745275,2021-03-30
89,539.570420064373,442.188301770714,816.853293054592,2021-03-31
90,524.29535320911,436.582311578887,892.405511131126,2021-04-01
91,596.134851668406,475.819618458183,980.928907182251,2021-04-02
